Threads	Runtime	Speedup	Efficiency
1	0.80	1.0	1.0
1	0.57	1.4035	1.4035
2	0.36	2.2222	1.1111
4	0.23	3.4782	.8695
6	0.15	5.3333	.8888
8	0.12	6.6666	.8333
10	0.10	8.0000	.8000
12	0.09	8.8888	.7407
14	0.09	8.8888	.6349
16	0.09	8.8888	.5555
18	0.09	8.8888	.4938
20	0.09	8.8888	.4444
22	0.08	10.0000	.4545
24	0.08	10.0000	.4166
26	0.08	10.0000	.3846
28	0.08	10.0000	.3571
30	0.09	8.8888	.2962
32	0.08	10.0000	.3125
34	0.08	10.0000	.2941
36	0.07	11.4285	.3174
38	0.08	10.0000	.2631
40	0.08	10.0000	.2500
42	0.08	10.0000	.2380
44	0.07	11.4285	.2597
46	0.08	10.0000	.2173
48	0.08	10.0000	.2083
50	0.08	10.0000	.2000
55	0.08	10.0000	.1818
60	0.08	10.0000	.1666
65	0.08	10.0000	.1538
70	0.07	11.4285	.1632
75	0.08	10.0000	.1333
80	0.07	11.4285	.1428
85	0.08	10.0000	.1176
90	0.08	10.0000	.1111
95	0.08	10.0000	.1052
100	0.08	10.0000	.1000
110	0.08	10.0000	.0909
128	0.08	10.0000	.0781
